name,group,id,22:6 n-3 (DHA) (g),22:0 (g),14:1 (g),16:1 undifferentiated (g),18:4 (g),20:1 (g),20:5 n-3 (EPA) (g),22:1 undifferentiated (g),22:5 n-3 (DPA) (g),Phytosterols (mg),Stigmasterol (mg),Campesterol (mg),Beta-sitosterol (mg),"Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",15:0 (g),17:0 (g),24:0 (g),16:1 t (g),18:1 t (g),22:1 t (g),18:2 t not further defined (g),18:2 i (g),"18:2 t,t (g)",18:2 CLAs (g),24:1 c (g),"20:2 n-6 c,c (g)",16:1 c (g),18:1 c (g),"18:2 n-6 c,c (g)",22:1 c (g),"18:3 n-6 c,c,c (g)",17:1 (g),20:3 undifferentiated (g),"Fatty acids, total trans-monoenoic (g)","Fatty acids, total trans-polyenoic (g)",13:0 (g),15:1 (g),"18:3 n-3 c,c,c (ALA) (g)",20:3 n-3 (g),20:3 n-6 (g),20:4 n-6 (g),18:3i (g),21:5 (g),22:4 (g),18:1-11t (18:1t n-7) (g)
"Pork, fresh, loin, center rib (roasts), bone-in, separable lean and fat, cooked, roasted",1000,10047,,,,0.296,,0.099,,,0.011,,,,,6.183,2.474,0.009,0.052,,,0.073,,0.019,,,,,0.088,,5.713,2.187,,,,0.01,0.073,0.027,,,0.082,,,,0.008,,,
"Pork, fresh, loin, center rib (chops or roasts), bone-in, separable lean only, raw",1000,10048,,,,0.122,,0.029,,,,,,,,1.999,0.524,,0.013,,,0.025,,,,0.013,,,0.016,,1.821,0.436,,,0.002,,,,,,0.018,,,,,,,
"Pork, fresh, loin, center rib (chops), bone-in, separable lean only, cooked, braised",1000,10049,,0.002,,0.171,,0.046,,,0.009,,,,,2.977,1.041,0.003,0.019,,,0.023,,,,,,,0.034,,2.736,,,0.003,,0.004,0.023,0.002,,,0.032,,,,,,,
"Pork, fresh, loin, center rib (chops), bone-in, separable lean only, cooked, broiled",1000,10050,,,,0.212,,0.05,,,,,,,,3.482,0.913,,0.022,,,0.044,,,,0.023,,,0.029,,3.172,0.76,,,0.004,0.002,0.044,0.023,,,0.031,,,,,,,
"Pork, fresh, loin, center rib (roasts), bone-in, separable lean only, cooked, roasted",1000,10051,,,,0.197,,0.058,,,0.008,,,,,3.83,1.453,0.006,0.03,,,0.041,,0.011,,,,,0.051,,3.535,1.274,,,,0.006,0.041,0.014,,,0.044,,,,0.003,,,
"Pork, fresh, loin, sirloin (chops or roasts), bone-in, separable lean and fat, raw",1000,10052,,,,0.186,,0.052,,,,,,,,2.157,0.754,0.003,0.028,,,0.055,,,,0.028,,,0.038,,3.287,0.987,,,,0.005,0.039,0.019,,,0.046,,,,,,,
"Pork, fresh, loin, sirloin (chops), bone-in, separable lean and fat, cooked, braised",1000,10053,,,,0.43,,0.12,,,,,,,,6.56,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pork, fresh, loin, sirloin (chops), bone-in, separable lean and fat, cooked, broiled",1000,10054,,,,0.46,,0.13,,,,,,,,6.99,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pork, fresh, loin, sirloin (roasts), bone-in, separable lean and fat, cooked, roasted",1000,10055,,,,0.282,,0.065,,,,,,,,5.042,1.499,0.002,0.038,,,0.068,,,,0.034,,,0.047,,4.62,1.269,,,0.006,0.005,0.068,0.034,,,0.058,,,,,,,
"Pork, fresh, loin, sirloin (chops or roasts), bone-in, separable lean only, raw",1000,10056,,,,0.094,,0.017,,,,,,,,1.537,0.424,,0.01,,,0.018,,,,0.009,,,0.013,,1.409,0.353,,,,,,,,,0.016,,,,,,,
"Pork, fresh, loin, sirloin (chops), bone-in, separable lean only, cooked, braised",1000,10057,,,,0.28,,0.08,,,,,,,,3.97,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
